uuid,town,lat,lng,minElevation,numAntennas,uplinkGhz,unconfirmed
632430d9e10d6,"Rolette, ND",48.660361,-99.810528,25,8,2.1,
632430d9e10db,"Cheyenne, WY",41.127083,-104.902417,25,8,2.1,
632430d9e10dc,"Des Moines, IA",41.541306,-93.825806,25,8,2.1,
632430d9e10dd,"Quincy, WA",47.237806,-119.889139,25,8,2.1,
632430d9e10de,"Frederick, MD",39.396972,-77.436639,25,8,2.1,
632430d9e10df,"Elbert, CO",39.292528,-104.50475,25,8,2.1,
632430d9e10e0,"Fairbanks, AK",64.805167,-147.500222,25,8,2.1,
632430d9e10e1,Awarua,-46.528,168.378,25,8,2.1,
632430d9e10e2,Cromwell,-45.059,169.206,25,8,2.1,
632430d9e10e3,Hinds,-43.9219,171.89,25,8,2.1,
632430d9e10e4,Clevedon,-36.989,175.055,25,8,2.1,
632430d9e10e5,Te Hana,-36.237,174.512,25,8,2.1,
632430d9e10e6,Puwera,-35.793,174.3,25,8,2.1,
632430d9e10e7,"Conrad, MT",48.203306,-111.945278,25,8,2.1,
632430d9e10e8,"Redmond, WA",47.694194,-122.032139,25,8,2.1,
632430d9e10e9,"Greenville, PA",41.433556,-80.333222,25,8,2.1,
632430d9e10ea,"Merrillan, WI",44.406333,-90.814278,25,8,2.1,
632430d9e10eb,"Kalama, WA",46.0389722,-122.8082222,25,8,2.1,
632430d9e10ec,"Hawthorne, CA",33.9175,-118.328111,25,8,2.1,
632430d9e10ed,"Arbuckle, CA",39.057,-122.06,25,8,2.1,
632430d9e10ee,"Beekmantown, NY",44.789972,-73.48,25,8,2.1,
632430d9e10ef,"Charleston, OR",43.248417,-124.381194,25,8,2.1,
632430d9e10f0,"Panaca, NV",37.783639,-114.692694,25,8,2.1,
632430d9e10f1,"Boca Chica, TX",25.990694,-97.18275,25,8,2.1,
632430d9e10f2,"McGregor, TX",31.404917,-97.438139,25,8,1.6,
632430d9e10f3,"Litchfield, CT",41.545028,-73.354028,25,8,2.1,
632430d9e10f4,"Warren, MO",38.635167,-91.116028,25,8,2.1,
632430d9e10f5,"Nemaha, NE",40.333667,-95.815278,25,8,2.1,
632430d9e10f6,"Manistique, MI",45.908611,-86.483583,25,8,2.1,
632430d9e10f7,"Slope County, ND",46.408389,-103.114583,25,8,2.1,
632430d9e10f8,"Los Angeles, CA",34.604028,-117.454361,25,8,2.1,
632430d9e10f9,"Cass County, ND",47.151694,-97.408889,25,8,2.1,
632430d9e10fa,"Sanderson, TX",30.194,-102.89,25,8,2.1,
632430d9e10fb,"Springer, OK",34.2685,-97.213167,25,8,2.1,
632430d9e10fc,"Hitterdal, MN",46.978917,-96.258028,25,8,2.1,
632430d9e10fd,"Tionesta, CA",41.644,-121.329972,25,8,2.1,
632430d9e10fe,"Butte, MT",45.924056,-112.513194,25,8,2.1,
632430d9e10ff,"Colburn, ID",48.34525,-116.439333,25,8,2.1,
632430d9e1100,"Baxley, GA",31.682167,-82.268972,25,8,2.1,
632430d9e1101,"Robertsdale, AL",30.567,-87.646,25,8,2.1,
632430d9e1102,"Roll, AZ",32.8155,-113.798056,25,8,2.1,
632430d9e1103,"Prosser, WA",46.127278,-119.684305,25,8,2.1,
632430d9e1104,"Vernon, UT",40.076222,-112.354722,25,8,2.1,
632430d9e1105,"Inman, KS",38.229,-97.921972,25,8,2.1,
632430d9e1106,"Evanston, WY",41.0925,-110.842611,25,8,2.1,
632430d9e1107,"Columbus, OH",40.061,-82.760778,25,8,2.1,
632430d9e1108,"Punta Gorda, FL",27.019667,-81.762028,25,8,2.1,
632430d9e1109,"Tracy City, TN",35.19725,-85.666,25,8,2.1,
632430d9e110a,"Kuparuk, AK",70.317667,-148.941194,25,8,2.1,
632430d9e110b,"Gaffney, SC",34.985306,-81.733083,25,8,2.1,
632430d9e110c,"Robbins, CA",38.875,-121.707055,25,8,2.1,
632430d9e110d,"Wise, NC",36.470639,-78.173389,25,8,2.1,
632430d9e110e,"Mandale, NC",35.895361,-79.224889,25,8,2.1,
632430d9e110f,"Dumas, TX",35.807972,-102.031861,25,8,2.1,
632430d9e1110,"Hamshire, TX",29.859861,-94.312333,25,8,2.1,
632430d9e1111,"Marcell, MN",47.593167,-93.692528,25,8,2.1,
632430d9e1112,"Molokai, HI",21.109333,-157.063944,25,8,2.1,
632430d9e1113,"Honolulu, HI",21.315,-157.866417,25,8,2.1,
632430d9e1114,"Lockport, NY",43.166556,-78.755111,25,8,2.1,
632430d9e1115,"Hillman, MI",45.07325,-83.900417,25,8,2.1,
632430d9e1116,"Lawrence, KS",39.013889,-95.149389,25,8,2.1,
632430d9e1117,"Norcross, GA",33.954972,-84.197972,25,8,2.1,
632430d9e1118,"Ft Lauderdale, FL",26.190861,-80.193083,25,8,2.1,
632430d9e1119,"Broadview, IL",41.854889,-87.858889,25,8,2.1,
632430d9e111a,"De Leon Springs, FL",29.133,-81.286,25,8,2.1,
632430d9e1122,St John's,47.5608537,-52.77538796,25,8,2.1,
632430d9e1123,"Broken Hill, NSW",-31.998258,141.441058,25,8,2.1,
632430d9e1124,"Toonpan, QLD",-19.518612,146.87364,25,8,2.1,
632430d9e1125,"Willows, QLD",-23.666677,147.50255,25,8,2.1,
632430d9e1126,"Pimba, SA",-31.250747,136.801335,25,8,2.1,
632430d9e1127,"Boorowa, NSW",-34.462093,148.705734,25,8,2.1,
632430d9e1128,"Wagin, WA",-33.308268,117.343372,25,8,2.1,
632430d9e1129,Villenave d’Ornon,44.7809519,-0.5373232,25,8,2.1,
632430d9e112a,Goonhilly,50.049545,-5.181232,25,8,2.1,
632430d9e112b,Chalfont Grove,51.615474,-0.575755,25,8,2.1,
632430d9e112c,Isle of Man,54.13903805555555,-4.4972111111111115,5,8,2.1,
632430d9e112d,"Frankfurt, DE",50.329917,8.470778,25,8,2.1,
632430d9e112e,"Ketchikan, AK",55.314611,-131.585694,25,8,2.1,
632430d9e112f,Punta Arenas,-52.9381,-70.857222,25,8,2.1,
632430d9e1130,Noviciado,-33.392703,-70.883119,25,8,2.1,
632430d9e1131,Caldera,-27.0197,-70.7878,25,8,2.1,
632430d9e1132,Santa Elena,-29.9994,-71.2586,25,8,2.1,
632430d9e1133,San Clemente,-35.556,-71.3568,25,8,2.1,
632430d9e1134,Puerto Saavedra,-38.8148,-73.3973,25,8,2.1,
632430d9e1135,Puerto Montt,-41.4866,-73.022,25,8,2.1,
632430d9e1136,"Sullivan, ME",44.530972,-68.224,25,8,2.1,
632430d9e1137,Aerzen,52.06,9.329,25,8,2.1,
632430d9e1138,"Merredin, WA",-31.494875,118.27777,25,8,2.1,
632430d9e1139,"Cataby, WA",-30.848289,115.61951,25,8,2.1,
632430d9e113a,"Ki Ki, SA",-35.57156,139.81749,25,8,2.1,
632430d9e113b,"Torrumbarry, VIC",-36.025227,144.50012,25,8,2.1,
632430d9e113c,"Cobargo, NSW",-36.388611,149.89139,25,8,2.1,
632430d9e113d,"Bogantungan, QLD",-23.64686,147.29128,25,8,2.1,
632430d9e113e,"Calrossie, NSW",-29.057781,150.04001,25,8,2.1,
632430d9e113f,"Springbrook Creek, NSW",-30.439794,149.683847,25,8,2.1,
632430d9e1140,"Bulla Bulling, WA",-31.029747,120.81982,25,8,2.1,
632430d9e1141,Elfordstown,51.953182,-8.174168,25,4,2.1,
632430d9e1148,Ballinspittle,51.644982,-8.588006,25,8,2.1,
632430d9e1149,"New Braunfels, TX",29.784056,-98.050778,25,8,2.1,
632430d9e114a,"Nome, AK",64.503506,-165.4283,25,8,2.1,
632430d9e114b,"Lunenburg, VT",44.412028,-71.731833,25,8,2.1,
632430d9e114c,"Loring, ME",46.914917,-67.919528,25,8,2.1,
632430d9e114d,"Anakie, VIC",-37.953169,144.328172,25,8,2.1,
632430d9e114e,"Koonwarra, VIC",-38.51812,145.95145,25,8,2.1,
